type,date
wertstoffe,2026-06-18
biomuell,2026-06-19
restmuell,2026-06-24
wertstoffe,2026-07-02
biomuell,2026-07-03
restmuell,2026-07-08
papiermuell,2026-07-13
wertstoffe,2026-07-16
biomuell,2026-07-17
restmuell,2026-07-22
wertstoffe,2026-07-30
biomuell,2026-07-31
restmuell,2026-08-05
papiermuell,2026-08-10
wertstoffe,2026-08-13
biomuell,2026-08-14
restmuell,2026-08-19
wertstoffe,2026-08-27
biomuell,2026-08-28
restmuell,2026-09-02
papiermuell,2026-09-07
wertstoffe,2026-09-10
biomuell,2026-09-11
restmuell,2026-09-16
wertstoffe,2026-09-24
biomuell,2026-09-25
restmuell,2026-09-30
papiermuell,2026-10-05
wertstoffe,2026-10-08
biomuell,2026-10-09
restmuell,2026-10-14
wertstoffe,2026-10-22
biomuell,2026-10-23
restmuell,2026-10-28
papiermuell,2026-11-02
wertstoffe,2026-11-05
biomuell,2026-11-06
restmuell,2026-11-11
wertstoffe,2026-11-19
biomuell,2026-11-20
restmuell,2026-11-25
papiermuell,2026-11-30
wertstoffe,2026-12-03
biomuell,2026-12-04
restmuell,2026-12-09
wertstoffe,2026-12-17
biomuell,2026-12-18
restmuell,2026-12-22
papiermuell,2026-12-28
wertstoffe,2026-12-31
